Gate_to_Gate_Ratio, NP_Ratio_1, NP_Ratio_2, Buffer_Gate_Delay
             2.100,      1.800,      1.500, 3.60E+00
             2.100,      1.900,      1.500, 3.60E+00
             2.100,      1.000,      1.600, 3.70E+00
             2.100,      1.100,      1.600, 3.70E+00
             2.100,      1.200,      1.600, 3.70E+00
             2.100,      1.300,      1.600, 3.70E+00
             2.100,      1.400,      1.600, 3.70E+00
             2.100,      1.500,      1.600, 3.70E+00
             2.100,      1.600,      1.600, 3.70E+00
             2.100,      1.700,      1.600, 3.70E+00
             2.100,      1.800,      1.600, 3.70E+00
             2.100,      1.900,      1.600, 3.70E+00
             2.100,      1.000,      1.700, 3.80E+00
             2.100,      1.100,      1.700, 3.80E+00
             2.100,      1.200,      1.700, 3.80E+00
             2.100,      1.300,      1.700, 3.80E+00
             2.100,      1.400,      1.700, 3.80E+00
             2.100,      1.500,      1.700, 3.80E+00
             2.100,      1.600,      1.700, 3.80E+00
             2.100,      1.700,      1.700, 3.80E+00
             2.100,      1.800,      1.700, 3.80E+00
             2.100,      1.900,      1.700, 3.80E+00
             2.100,      1.000,      1.800, 3.90E+00
             2.100,      1.100,      1.800, 3.90E+00
             2.100,      1.200,      1.800, 3.90E+00
             2.100,      1.300,      1.800, 3.90E+00
             2.100,      1.400,      1.800, 3.90E+00
             2.100,      1.500,      1.800, 3.90E+00
             2.100,      1.600,      1.800, 3.90E+00
             2.100,      1.700,      1.800, 3.90E+00
             2.100,      1.800,      1.800, 3.90E+00
             2.100,      1.900,      1.800, 3.90E+00
             2.100,      1.000,      1.900, 4.00E+00
             2.100,      1.100,      1.900, 4.00E+00
             2.100,      1.200,      1.900, 4.00E+00
             2.100,      1.300,      1.900, 4.00E+00
             2.100,      1.400,      1.900, 4.00E+00
             2.100,      1.500,      1.900, 4.00E+00
             2.100,      1.600,      1.900, 4.00E+00
             2.100,      1.700,      1.900, 4.00E+00
             2.100,      1.800,      1.900, 4.00E+00
             2.100,      1.900,      1.900, 4.00E+00
             2.200,      1.000,      1.000, 3.20E+00
             2.200,      1.100,      1.000, 3.20E+00
             2.200,      1.200,      1.000, 3.20E+00
             2.200,      1.300,      1.000, 3.20E+00
             2.200,      1.400,      1.000, 3.20E+00
             2.200,      1.500,      1.000, 3.20E+00
             2.200,      1.600,      1.000, 3.20E+00
             2.200,      1.700,      1.000, 3.20E+00
             2.200,      1.800,      1.000, 3.20E+00
             2.200,      1.900,      1.000, 3.20E+00
             2.200,      1.000,      1.100, 3.30E+00
             2.200,      1.100,      1.100, 3.30E+00
             2.200,      1.200,      1.100, 3.30E+00
             2.200,      1.300,      1.100, 3.30E+00
             2.200,      1.400,      1.100, 3.30E+00
             2.200,      1.500,      1.100, 3.30E+00
             2.200,      1.600,      1.100, 3.30E+00
             2.200,      1.700,      1.100, 3.30E+00
             2.200,      1.800,      1.100, 3.30E+00
             2.200,      1.900,      1.100, 3.30E+00
             2.200,      1.000,      1.200, 3.40E+00
             2.200,      1.100,      1.200, 3.40E+00
             2.200,      1.200,      1.200, 3.40E+00
             2.200,      1.300,      1.200, 3.40E+00
             2.200,      1.400,      1.200, 3.40E+00
             2.200,      1.500,      1.200, 3.40E+00
             2.200,      1.600,      1.200, 3.40E+00
             2.200,      1.700,      1.200, 3.40E+00
             2.200,      1.800,      1.200, 3.40E+00
             2.200,      1.900,      1.200, 3.40E+00
             2.200,      1.000,      1.300, 3.50E+00
             2.200,      1.100,      1.300, 3.50E+00
             2.200,      1.200,      1.300, 3.50E+00
             2.200,      1.300,      1.300, 3.50E+00
             2.200,      1.400,      1.300, 3.50E+00
             2.200,      1.500,      1.300, 3.50E+00
             2.200,      1.600,      1.300, 3.50E+00
             2.200,      1.700,      1.300, 3.50E+00
             2.200,      1.800,      1.300, 3.50E+00
             2.200,      1.900,      1.300, 3.50E+00
             2.200,      1.000,      1.400, 3.60E+00
             2.200,      1.100,      1.400, 3.60E+00
             2.200,      1.200,      1.400, 3.60E+00
             2.200,      1.300,      1.400, 3.60E+00
             2.200,      1.400,      1.400, 3.60E+00
             2.200,      1.500,      1.400, 3.60E+00
             2.200,      1.600,      1.400, 3.60E+00
             2.200,      1.700,      1.400, 3.60E+00
             2.200,      1.800,      1.400, 3.60E+00
             2.200,      1.900,      1.400, 3.60E+00
             2.200,      1.000,      1.500, 3.70E+00
             2.200,      1.100,      1.500, 3.70E+00
             2.200,      1.200,      1.500, 3.70E+00
             2.200,      1.300,      1.500, 3.70E+00
             2.200,      1.400,      1.500, 3.70E+00
             2.200,      1.500,      1.500, 3.70E+00
             2.200,      1.600,      1.500, 3.70E+00
             2.200,      1.700,      1.500, 3.70E+00
             2.200,      1.800,      1.500, 3.70E+00
             2.200,      1.900,      1.500, 3.70E+00
             2.200,      1.000,      1.600, 3.80E+00
             2.200,      1.100,      1.600, 3.80E+00
             2.200,      1.200,      1.600, 3.80E+00
             2.200,      1.300,      1.600, 3.80E+00
             2.200,      1.400,      1.600, 3.80E+00
             2.200,      1.500,      1.600, 3.80E+00
             2.200,      1.600,      1.600, 3.80E+00
             2.200,      1.700,      1.600, 3.80E+00
             2.200,      1.800,      1.600, 3.80E+00
             2.200,      1.900,      1.600, 3.80E+00
             2.200,      1.000,      1.700, 3.90E+00
             2.200,      1.100,      1.700, 3.90E+00
             2.200,      1.200,      1.700, 3.90E+00
             2.200,      1.300,      1.700, 3.90E+00
             2.200,      1.400,      1.700, 3.90E+00
             2.200,      1.500,      1.700, 3.90E+00
             2.200,      1.600,      1.700, 3.90E+00
             2.200,      1.700,      1.700, 3.90E+00
             2.200,      1.800,      1.700, 3.90E+00
             2.200,      1.900,      1.700, 3.90E+00
             2.200,      1.000,      1.800, 4.00E+00
             2.200,      1.100,      1.800, 4.00E+00
             2.200,      1.200,      1.800, 4.00E+00
             2.200,      1.300,      1.800, 4.00E+00
             2.200,      1.400,      1.800, 4.00E+00
             2.200,      1.500,      1.800, 4.00E+00
             2.200,      1.600,      1.800, 4.00E+00
             2.200,      1.700,      1.800, 4.00E+00
             2.200,      1.800,      1.800, 4.00E+00
             2.200,      1.900,      1.800, 4.00E+00
             2.200,      1.000,      1.900, 4.10E+00
             2.200,      1.100,      1.900, 4.10E+00
             2.200,      1.200,      1.900, 4.10E+00
             2.200,      1.300,      1.900, 4.10E+00
             2.200,      1.400,      1.900, 4.10E+00
             2.200,      1.500,      1.900, 4.10E+00
             2.200,      1.600,      1.900, 4.10E+00
             2.200,      1.700,      1.900, 4.10E+00
             2.200,      1.800,      1.900, 4.10E+00
             2.200,      1.900,      1.900, 4.10E+00
             2.300,      1.000,      1.000, 3.30E+00
             2.300,      1.100,      1.000, 3.30E+00
             2.300,      1.200,      1.000, 3.30E+00
             2.300,      1.300,      1.000, 3.30E+00
             2.300,      1.400,      1.000, 3.30E+00
             2.300,      1.500,      1.000, 3.30E+00
             2.300,      1.600,      1.000, 3.30E+00
             2.300,      1.700,      1.000, 3.30E+00
             2.300,      1.800,      1.000, 3.30E+00
             2.300,      1.900,      1.000, 3.30E+00
             2.300,      1.000,      1.100, 3.40E+00
             2.300,      1.100,      1.100, 3.40E+00
             2.300,      1.200,      1.100, 3.40E+00
             2.300,      1.300,      1.100, 3.40E+00
             2.300,      1.400,      1.100, 3.40E+00
             2.300,      1.500,      1.100, 3.40E+00
             2.300,      1.600,      1.100, 3.40E+00
             2.300,      1.700,      1.100, 3.40E+00
             2.300,      1.800,      1.100, 3.40E+00
             2.300,      1.900,      1.100, 3.40E+00
             2.300,      1.000,      1.200, 3.50E+00
             2.300,      1.100,      1.200, 3.50E+00
             2.300,      1.200,      1.200, 3.50E+00
             2.300,      1.300,      1.200, 3.50E+00
             2.300,      1.400,      1.200, 3.50E+00
             2.300,      1.500,      1.200, 3.50E+00
             2.300,      1.600,      1.200, 3.50E+00
             2.300,      1.700,      1.200, 3.50E+00
             2.300,      1.800,      1.200, 3.50E+00
             2.300,      1.900,      1.200, 3.50E+00
             2.300,      1.000,      1.300, 3.60E+00
             2.300,      1.100,      1.300, 3.60E+00
             2.300,      1.200,      1.300, 3.60E+00
             2.300,      1.300,      1.300, 3.60E+00
             2.300,      1.400,      1.300, 3.60E+00
             2.300,      1.500,      1.300, 3.60E+00
             2.300,      1.600,      1.300, 3.60E+00
             2.300,      1.700,      1.300, 3.60E+00
             2.300,      1.800,      1.300, 3.60E+00
             2.300,      1.900,      1.300, 3.60E+00
             2.300,      1.000,      1.400, 3.70E+00
             2.300,      1.100,      1.400, 3.70E+00
             2.300,      1.200,      1.400, 3.70E+00
             2.300,      1.300,      1.400, 3.70E+00
             2.300,      1.400,      1.400, 3.70E+00
             2.300,      1.500,      1.400, 3.70E+00
             2.300,      1.600,      1.400, 3.70E+00
             2.300,      1.700,      1.400, 3.70E+00
             2.300,      1.800,      1.400, 3.70E+00
             2.300,      1.900,      1.400, 3.70E+00
             2.300,      1.000,      1.500, 3.80E+00
             2.300,      1.100,      1.500, 3.80E+00
             2.300,      1.200,      1.500, 3.80E+00
             2.300,      1.300,      1.500, 3.80E+00
             2.300,      1.400,      1.500, 3.80E+00
             2.300,      1.500,      1.500, 3.80E+00
             2.300,      1.600,      1.500, 3.80E+00
             2.300,      1.700,      1.500, 3.80E+00
             2.300,      1.800,      1.500, 3.80E+00
             2.300,      1.900,      1.500, 3.80E+00
             2.300,      1.000,      1.600, 3.90E+00
             2.300,      1.100,      1.600, 3.90E+00
             2.300,      1.200,      1.600, 3.90E+00
             2.300,      1.300,      1.600, 3.90E+00
             2.300,      1.400,      1.600, 3.90E+00
             2.300,      1.500,      1.600, 3.90E+00
             2.300,      1.600,      1.600, 3.90E+00
             2.300,      1.700,      1.600, 3.90E+00
             2.300,      1.800,      1.600, 3.90E+00
             2.300,      1.900,      1.600, 3.90E+00
             2.300,      1.000,      1.700, 4.00E+00
             2.300,      1.100,      1.700, 4.00E+00
             2.300,      1.200,      1.700, 4.00E+00
             2.300,      1.300,      1.700, 4.00E+00
             2.300,      1.400,      1.700, 4.00E+00
             2.300,      1.500,      1.700, 4.00E+00
             2.300,      1.600,      1.700, 4.00E+00
             2.300,      1.700,      1.700, 4.00E+00
             2.300,      1.800,      1.700, 4.00E+00
             2.300,      1.900,      1.700, 4.00E+00
             2.300,      1.000,      1.800, 4.10E+00
             2.300,      1.100,      1.800, 4.10E+00
             2.300,      1.200,      1.800, 4.10E+00
             2.300,      1.300,      1.800, 4.10E+00
             2.300,      1.400,      1.800, 4.10E+00
             2.300,      1.500,      1.800, 4.10E+00
             2.300,      1.600,      1.800, 4.10E+00
             2.300,      1.700,      1.800, 4.10E+00
             2.300,      1.800,      1.800, 4.10E+00
             2.300,      1.900,      1.800, 4.10E+00
             2.300,      1.000,      1.900, 4.20E+00
             2.300,      1.100,      1.900, 4.20E+00
             2.300,      1.200,      1.900, 4.20E+00
             2.300,      1.300,      1.900, 4.20E+00
             2.300,      1.400,      1.900, 4.20E+00
             2.300,      1.500,      1.900, 4.20E+00
             2.300,      1.600,      1.900, 4.20E+00
             2.300,      1.700,      1.900, 4.20E+00
             2.300,      1.800,      1.900, 4.20E+00
             2.300,      1.900,      1.900, 4.20E+00
             2.400,      1.000,      1.000, 3.40E+00
             2.400,      1.100,      1.000, 3.40E+00
             2.400,      1.200,      1.000, 3.40E+00
             2.400,      1.300,      1.000, 3.40E+00
             2.400,      1.400,      1.000, 3.40E+00
             2.400,      1.500,      1.000, 3.40E+00
             2.400,      1.600,      1.000, 3.40E+00
             2.400,      1.700,      1.000, 3.40E+00
             2.400,      1.800,      1.000, 3.40E+00
             2.400,      1.900,      1.000, 3.40E+00
             2.400,      1.000,      1.100, 3.50E+00
             2.400,      1.100,      1.100, 3.50E+00
             2.400,      1.200,      1.100, 3.50E+00
             2.400,      1.300,      1.100, 3.50E+00
             2.400,      1.400,      1.100, 3.50E+00
             2.400,      1.500,      1.100, 3.50E+00
             2.400,      1.600,      1.100, 3.50E+00
             2.400,      1.700,      1.100, 3.50E+00
             2.400,      1.800,      1.100, 3.50E+00
             2.400,      1.900,      1.100, 3.50E+00
             2.400,      1.000,      1.200, 3.60E+00
             2.400,      1.100,      1.200, 3.60E+00
             2.400,      1.200,      1.200, 3.60E+00
             2.400,      1.300,      1.200, 3.60E+00
             2.400,      1.400,      1.200, 3.60E+00
             2.400,      1.500,      1.200, 3.60E+00
             2.400,      1.600,      1.200, 3.60E+00
             2.400,      1.700,      1.200, 3.60E+00
             2.400,      1.800,      1.200, 3.60E+00
             2.400,      1.900,      1.200, 3.60E+00
             2.400,      1.000,      1.300, 3.70E+00
             2.400,      1.100,      1.300, 3.70E+00
             2.400,      1.200,      1.300, 3.70E+00
             2.400,      1.300,      1.300, 3.70E+00
             2.400,      1.400,      1.300, 3.70E+00
             2.400,      1.500,      1.300, 3.70E+00
             2.400,      1.600,      1.300, 3.70E+00
             2.400,      1.700,      1.300, 3.70E+00
             2.400,      1.800,      1.300, 3.70E+00
             2.400,      1.900,      1.300, 3.70E+00
             2.400,      1.000,      1.400, 3.80E+00
             2.400,      1.100,      1.400, 3.80E+00
             2.400,      1.200,      1.400, 3.80E+00
             2.400,      1.300,      1.400, 3.80E+00
             2.400,      1.400,      1.400, 3.80E+00
             2.400,      1.500,      1.400, 3.80E+00
             2.400,      1.600,      1.400, 3.80E+00
             2.400,      1.700,      1.400, 3.80E+00
             2.400,      1.800,      1.400, 3.80E+00
             2.400,      1.900,      1.400, 3.80E+00
             2.400,      1.000,      1.500, 3.90E+00
             2.400,      1.100,      1.500, 3.90E+00
             2.400,      1.200,      1.500, 3.90E+00
             2.400,      1.300,      1.500, 3.90E+00
             2.400,      1.400,      1.500, 3.90E+00
             2.400,      1.500,      1.500, 3.90E+00
             2.400,      1.600,      1.500, 3.90E+00
             2.400,      1.700,      1.500, 3.90E+00
             2.400,      1.800,      1.500, 3.90E+00
             2.400,      1.900,      1.500, 3.90E+00
             2.400,      1.000,      1.600, 4.00E+00
             2.400,      1.100,      1.600, 4.00E+00
             2.400,      1.200,      1.600, 4.00E+00
             2.400,      1.300,      1.600, 4.00E+00
             2.400,      1.400,      1.600, 4.00E+00
             2.400,      1.500,      1.600, 4.00E+00
             2.400,      1.600,      1.600, 4.00E+00
             2.400,      1.700,      1.600, 4.00E+00
             2.400,      1.800,      1.600, 4.00E+00
             2.400,      1.900,      1.600, 4.00E+00
             2.400,      1.000,      1.700, 4.10E+00
             2.400,      1.100,      1.700, 4.10E+00
             2.400,      1.200,      1.700, 4.10E+00
             2.400,      1.300,      1.700, 4.10E+00
             2.400,      1.400,      1.700, 4.10E+00
             2.400,      1.500,      1.700, 4.10E+00
             2.400,      1.600,      1.700, 4.10E+00
             2.400,      1.700,      1.700, 4.10E+00
             2.400,      1.800,      1.700, 4.10E+00
             2.400,      1.900,      1.700, 4.10E+00
             2.400,      1.000,      1.800, 4.20E+00
             2.400,      1.100,      1.800, 4.20E+00
             2.400,      1.200,      1.800, 4.20E+00
             2.400,      1.300,      1.800, 4.20E+00
             2.400,      1.400,      1.800, 4.20E+00
             2.400,      1.500,      1.800, 4.20E+00
             2.400,      1.600,      1.800, 4.20E+00
             2.400,      1.700,      1.800, 4.20E+00
             2.400,      1.800,      1.800, 4.20E+00
             2.400,      1.900,      1.800, 4.20E+00
             2.400,      1.000,      1.900, 4.30E+00
             2.400,      1.100,      1.900, 4.30E+00
             2.400,      1.200,      1.900, 4.30E+00
             2.400,      1.300,      1.900, 4.30E+00
             2.400,      1.400,      1.900, 4.30E+00
             2.400,      1.500,      1.900, 4.30E+00
             2.400,      1.600,      1.900, 4.30E+00
             2.400,      1.700,      1.900, 4.30E+00
             2.400,      1.800,      1.900, 4.30E+00
             2.400,      1.900,      1.900, 4.30E+00
             2.500,      1.000,      1.000, 3.50E+00
             2.500,      1.100,      1.000, 3.50E+00
             2.500,      1.200,      1.000, 3.50E+00
             2.500,      1.300,      1.000, 3.50E+00
             2.500,      1.400,      1.000, 3.50E+00
             2.500,      1.500,      1.000, 3.50E+00
             2.500,      1.600,      1.000, 3.50E+00
             2.500,      1.700,      1.000, 3.50E+00
             2.500,      1.800,      1.000, 3.50E+00
             2.500,      1.900,      1.000, 3.50E+00
             2.500,      1.000,      1.100, 3.60E+00
             2.500,      1.100,      1.100, 3.60E+00
             2.500,      1.200,      1.100, 3.60E+00
             2.500,      1.300,      1.100, 3.60E+00
             2.500,      1.400,      1.100, 3.60E+00
             2.500,      1.500,      1.100, 3.60E+00
             2.500,      1.600,      1.100, 3.60E+00
             2.500,      1.700,      1.100, 3.60E+00
             2.500,      1.800,      1.100, 3.60E+00
             2.500,      1.900,      1.100, 3.60E+00
             2.500,      1.000,      1.200, 3.70E+00
             2.500,      1.100,      1.200, 3.70E+00
             2.500,      1.200,      1.200, 3.70E+00
             2.500,      1.300,      1.200, 3.70E+00
             2.500,      1.400,      1.200, 3.70E+00
             2.500,      1.500,      1.200, 3.70E+00
             2.500,      1.600,      1.200, 3.70E+00
             2.500,      1.700,      1.200, 3.70E+00
             2.500,      1.800,      1.200, 3.70E+00
             2.500,      1.900,      1.200, 3.70E+00
             2.500,      1.000,      1.300, 3.80E+00
             2.500,      1.100,      1.300, 3.80E+00
             2.500,      1.200,      1.300, 3.80E+00
             2.500,      1.300,      1.300, 3.80E+00
             2.500,      1.400,      1.300, 3.80E+00
             2.500,      1.500,      1.300, 3.80E+00
             2.500,      1.600,      1.300, 3.80E+00
             2.500,      1.700,      1.300, 3.80E+00
             2.500,      1.800,      1.300, 3.80E+00
             2.500,      1.900,      1.300, 3.80E+00
             2.500,      1.000,      1.400, 3.90E+00
             2.500,      1.100,      1.400, 3.90E+00
             2.500,      1.200,      1.400, 3.90E+00
             2.500,      1.300,      1.400, 3.90E+00
             2.500,      1.400,      1.400, 3.90E+00
             2.500,      1.500,      1.400, 3.90E+00
             2.500,      1.600,      1.400, 3.90E+00
             2.500,      1.700,      1.400, 3.90E+00
             2.500,      1.800,      1.400, 3.90E+00
             2.500,      1.900,      1.400, 3.90E+00
             2.500,      1.000,      1.500, 4.00E+00
             2.500,      1.100,      1.500, 4.00E+00
             2.500,      1.200,      1.500, 4.00E+00
             2.500,      1.300,      1.500, 4.00E+00
             2.500,      1.400,      1.500, 4.00E+00
             2.500,      1.500,      1.500, 4.00E+00
             2.500,      1.600,      1.500, 4.00E+00
             2.500,      1.700,      1.500, 4.00E+00
             2.500,      1.800,      1.500, 4.00E+00
             2.500,      1.900,      1.500, 4.00E+00
             2.500,      1.000,      1.600, 4.10E+00
             2.500,      1.100,      1.600, 4.10E+00
             2.500,      1.200,      1.600, 4.10E+00
             2.500,      1.300,      1.600, 4.10E+00
             2.500,      1.400,      1.600, 4.10E+00
             2.500,      1.500,      1.600, 4.10E+00
             2.500,      1.600,      1.600, 4.10E+00
             2.500,      1.700,      1.600, 4.10E+00
             2.500,      1.800,      1.600, 4.10E+00
             2.500,      1.900,      1.600, 4.10E+00
             2.500,      1.000,      1.700, 4.20E+00
             2.500,      1.100,      1.700, 4.20E+00
             2.500,      1.200,      1.700, 4.20E+00
             2.500,      1.300,      1.700, 4.20E+00
             2.500,      1.400,      1.700, 4.20E+00
             2.500,      1.500,      1.700, 4.20E+00
             2.500,      1.600,      1.700, 4.20E+00
             2.500,      1.700,      1.700, 4.20E+00
             2.500,      1.800,      1.700, 4.20E+00
             2.500,      1.900,      1.700, 4.20E+00
             2.500,      1.000,      1.800, 4.30E+00
             2.500,      1.100,      1.800, 4.30E+00
             2.500,      1.200,      1.800, 4.30E+00
             2.500,      1.300,      1.800, 4.30E+00
             2.500,      1.400,      1.800, 4.30E+00
             2.500,      1.500,      1.800, 4.30E+00
             2.500,      1.600,      1.800, 4.30E+00
             2.500,      1.700,      1.800, 4.30E+00
             2.500,      1.800,      1.800, 4.30E+00
             2.500,      1.900,      1.800, 4.30E+00
             2.500,      1.000,      1.900, 4.40E+00
             2.500,      1.100,      1.900, 4.40E+00
             2.500,      1.200,      1.900, 4.40E+00
             2.500,      1.300,      1.900, 4.40E+00
             2.500,      1.400,      1.900, 4.40E+00
             2.500,      1.500,      1.900, 4.40E+00
             2.500,      1.600,      1.900, 4.40E+00
             2.500,      1.700,      1.900, 4.40E+00
             2.500,      1.800,      1.900, 4.40E+00
             2.500,      1.900,      1.900, 4.40E+00
             2.600,      1.000,      1.000, 3.60E+00
             2.600,      1.100,      1.000, 3.60E+00
             2.600,      1.200,      1.000, 3.60E+00
             2.600,      1.300,      1.000, 3.60E+00
             2.600,      1.400,      1.000, 3.60E+00
             2.600,      1.500,      1.000, 3.60E+00
             2.600,      1.600,      1.000, 3.60E+00
             2.600,      1.700,      1.000, 3.60E+00
             2.600,      1.800,      1.000, 3.60E+00
             2.600,      1.900,      1.000, 3.60E+00
             2.600,      1.000,      1.100, 3.70E+00
             2.600,      1.100,      1.100, 3.70E+00
             2.600,      1.200,      1.100, 3.70E+00
             2.600,      1.300,      1.100, 3.70E+00
             2.600,      1.400,      1.100, 3.70E+00
             2.600,      1.500,      1.100, 3.70E+00
             2.600,      1.600,      1.100, 3.70E+00
             2.600,      1.700,      1.100, 3.70E+00
             2.600,      1.800,      1.100, 3.70E+00
             2.600,      1.900,      1.100, 3.70E+00
             2.600,      1.000,      1.200, 3.80E+00
             2.600,      1.100,      1.200, 3.80E+00
             2.600,      1.200,      1.200, 3.80E+00
             2.600,      1.300,      1.200, 3.80E+00
             2.600,      1.400,      1.200, 3.80E+00
             2.600,      1.500,      1.200, 3.80E+00
             2.600,      1.600,      1.200, 3.80E+00
             2.600,      1.700,      1.200, 3.80E+00
             2.600,      1.800,      1.200, 3.80E+00
             2.600,      1.900,      1.200, 3.80E+00
             2.600,      1.000,      1.300, 3.90E+00
             2.600,      1.100,      1.300, 3.90E+00
             2.600,      1.200,      1.300, 3.90E+00
             2.600,      1.300,      1.300, 3.90E+00
             2.600,      1.400,      1.300, 3.90E+00
             2.600,      1.500,      1.300, 3.90E+00
             2.600,      1.600,      1.300, 3.90E+00
             2.600,      1.700,      1.300, 3.90E+00
             2.600,      1.800,      1.300, 3.90E+00
             2.600,      1.900,      1.300, 3.90E+00
             2.600,      1.000,      1.400, 4.00E+00
             2.600,      1.100,      1.400, 4.00E+00
             2.600,      1.200,      1.400, 4.00E+00
             2.600,      1.300,      1.400, 4.00E+00
             2.600,      1.400,      1.400, 4.00E+00
             2.600,      1.500,      1.400, 4.00E+00
             2.600,      1.600,      1.400, 4.00E+00
             2.600,      1.700,      1.400, 4.00E+00
             2.600,      1.800,      1.400, 4.00E+00
             2.600,      1.900,      1.400, 4.00E+00
             2.600,      1.000,      1.500, 4.10E+00
             2.600,      1.100,      1.500, 4.10E+00
             2.600,      1.200,      1.500, 4.10E+00
             2.600,      1.300,      1.500, 4.10E+00
             2.600,      1.400,      1.500, 4.10E+00
             2.600,      1.500,      1.500, 4.10E+00
             2.600,      1.600,      1.500, 4.10E+00
             2.600,      1.700,      1.500, 4.10E+00
             2.600,      1.800,      1.500, 4.10E+00
             2.600,      1.900,      1.500, 4.10E+00
             2.600,      1.000,      1.600, 4.20E+00
             2.600,      1.100,      1.600, 4.20E+00
             2.600,      1.200,      1.600, 4.20E+00
             2.600,      1.300,      1.600, 4.20E+00
             2.600,      1.400,      1.600, 4.20E+00
             2.600,      1.500,      1.600, 4.20E+00
             2.600,      1.600,      1.600, 4.20E+00
             2.600,      1.700,      1.600, 4.20E+00
             2.600,      1.800,      1.600, 4.20E+00
             2.600,      1.900,      1.600, 4.20E+00
             2.600,      1.000,      1.700, 4.30E+00
             2.600,      1.100,      1.700, 4.30E+00
             2.600,      1.200,      1.700, 4.30E+00
             2.600,      1.300,      1.700, 4.30E+00
             2.600,      1.400,      1.700, 4.30E+00
             2.600,      1.500,      1.700, 4.30E+00
             2.600,      1.600,      1.700, 4.30E+00
             2.600,      1.700,      1.700, 4.30E+00
             2.600,      1.800,      1.700, 4.30E+00
             2.600,      1.900,      1.700, 4.30E+00
             2.600,      1.000,      1.800, 4.40E+00
             2.600,      1.100,      1.800, 4.40E+00
             2.600,      1.200,      1.800, 4.40E+00
             2.600,      1.300,      1.800, 4.40E+00
             2.600,      1.400,      1.800, 4.40E+00
             2.600,      1.500,      1.800, 4.40E+00
             2.600,      1.600,      1.800, 4.40E+00
             2.600,      1.700,      1.800, 4.40E+00
             2.600,      1.800,      1.800, 4.40E+00
             2.600,      1.900,      1.800, 4.40E+00
             2.600,      1.000,      1.900, 4.50E+00
             2.600,      1.100,      1.900, 4.50E+00
             2.600,      1.200,      1.900, 4.50E+00
             2.600,      1.300,      1.900, 4.50E+00
             2.600,      1.400,      1.900, 4.50E+00
             2.600,      1.500,      1.900, 4.50E+00
             2.600,      1.600,      1.900, 4.50E+00
             2.600,      1.700,      1.900, 4.50E+00
             2.600,      1.800,      1.900, 4.50E+00
             2.600,      1.900,      1.900, 4.50E+00
             2.700,      1.000,      1.000, 3.70E+00
             2.700,      1.100,      1.000, 3.70E+00
             2.700,      1.200,      1.000, 3.70E+00
             2.700,      1.300,      1.000, 3.70E+00
             2.700,      1.400,      1.000, 3.70E+00
